4,2,4,2,1,1,1,2,3,4,0,19,20,0,1,4,3,2,2,0,0,0,0,2
2,11,11,11,11,1,1,11,11,11,0,19,20,0,11,11,11,1,1,8,8,8,8,2
4,8,8,8,8,1,1,0,0,0,0,19,20,0,0,0,0,1,1,8,8,8,8,3
2,8,8,8,8,1,1,0,0,0,0,19,20,0,0,0,0,1,1,8,8,8,8,4
2,8,8,8,8,1,1,0,0,0,0,19,20,0,0,0,0,1,1,8,8,8,8,3
2,0,0,0,0,11,11,0,0,0,0,19,20,0,0,0,0,11,11,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,4
4,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,1
1,0,22,22,22,22,22,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,0,3
4,0,21,21,21,21,21,21,21,21,21,19,20,21,21,21,21,21,21,21,21,21,0,3
2,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,4
3,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,1
2,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,1
4,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,4
2,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,1
4,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,2
3,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,1
1,5,6,5,9,10,5,6,5,5,0,19,20,0,0,6,6,5,9,10,5,6,5,4
4,5,5,5,17,18,5,5,5,5,0,19,20,0,0,5,5,5,17,18,5,5,5,4
1,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,3
1,0,22,22,22,22,22,22,22,22,22,19,20,22,22,22,22,22,22,22,22,22,0,2
4,0,21,21,21,21,21,21,21,21,21,19,20,21,21,21,21,21,21,21,21,21,0,2
4,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,4
2,1,1,1,1,1,1,1,1,1,0,19,20,0,0,12,12,12,12,13,13,13,13,3
2,11,11,11,11,11,11,11,11,1,0,19,20,0,0,12,12,12,12,13,13,13,13,3
4,8,8,8,8,8,8,8,8,1,0,19,20,0,0,12,12,12,12,13,13,13,13,4
3,8,8,8,8,8,8,8,8,1,0,19,20,0,0,12,12,12,12,13,13,13,13,2
3,8,8,8,8,8,8,8,8,1,0,19,20,0,0,12,12,12,12,13,13,13,13,2
1,1,1,8,8,8,8,1,1,1,0,19,20,0,0,12,12,12,12,13,13,13,13,3
4,5,5,8,8,8,8,5,5,5,0,19,20,0,0,5,6,5,9,10,5,6,5,1
1,5,5,8,8,8,8,5,5,5,0,19,20,0,0,5,5,5,17,18,5,5,5,1
1,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,4
4,0,22,22,22,22,22,22,22,22,22,19,20,22,22,22,22,22,22,22,22,22,0,3
3,0,21,21,21,21,21,21,21,21,21,19,20,21,21,21,21,21,21,21,21,21,0,3
3,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,2
2,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,3
2,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,2
4,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,3
4,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,3
3,12,12,12,12,13,13,13,13,13,0,19,20,0,0,12,12,12,12,13,13,13,13,1
4,5,6,5,9,10,5,6,5,5,0,19,20,0,0,5,6,5,9,10,5,6,5,2
4,5,5,5,17,18,5,5,5,5,0,19,20,0,0,5,5,5,17,18,5,5,5,2
1,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,0,2
4,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,3
4,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,2
1,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,4
1,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,3
1,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,2
1,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,4
2,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,2
3,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,4
2,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,3
4,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,3
1,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,2
2,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,2
1,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,2
2,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,1
1,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,1
1,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,4
1,0,0,24,25,0,0,24,25,0,0,24,25,0,0,24,25,0,0,19,20,0,0,1
3,0,0,32,33,0,0,32,33,0,0,32,33,0,0,32,33,0,0,19,20,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,1
4,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,20,0,0,4
4,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,20,0,0,2
1,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,1
2,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,2
3,0,19,20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,19,20,0,0,3
1,0,19,20,0,0,1,11,11,11,11,11,11,11,11,11,11,1,0,19,20,0,0,1
3,0,19,20,0,0,1,8,8,8,8,8,8,8,8,8,8,1,0,19,20,0,0,1
4,0,19,20,0,0,1,8,8,8,8,8,8,8,8,8,8,1,0,19,20,0,0,3
1,0,19,20,0,0,1,8,8,8,8,8,8,8,8,8,8,1,0,19,20,0,0,3
1,0,19,20,0,0,1,8,8,8,8,8,8,8,8,8,8,1,0,19,20,0,0,3
2,0,19,20,0,0,1,1,1,1,8,8,8,8,1,1,1,1,0,19,20,0,0,4
2,0,19,20,0,0,5,6,5,5,8,8,8,8,5,5,6,5,0,19,20,0,0,2
3,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,1
1,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,3
1,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,3
3,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,2
4,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,1
3,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,1
